index,date,score
37,2023-03-13,1.0821530061573592
39,2023-03-15,1.133455232452872
41,2023-03-17,5.205633708028468
104,2023-06-16,1.3231416196346673
114,2023-07-03,8.040681846668365
166,2023-09-15,1.231219743169029
215,2023-11-24,11.672177520697716
229,2023-12-14,0.8167876022905756
230,2023-12-15,2.8595213485856226
236,2023-12-26,4.329669517473908
237,2023-12-27,2.160304226059477
238,2023-12-28,2.6671451453028334
291,2024-03-15,2.0821339971429107
358,2024-06-21,1.2297724155606855
363,2024-06-28,1.5127231231767866
366,2024-07-03,6.792200504412942
403,2024-08-26,0.7094390520517415
404,2024-08-27,1.6988025426635012
421,2024-09-20,2.2554485719811193
454,2024-11-06,0.7425875758447081
470,2024-11-29,4.971821107278753
485,2024-12-20,2.867284572082078
487,2024-12-24,10.51038586420726
488,2024-12-26,0.8978419809501109
530,2025-02-28,0.9155454982535293
536,2025-03-10,0.8702587038809318
537,2025-03-11,0.6525375435738741
545,2025-03-21,5.233787599522334
