window_index,start_date,end_date,iforest_score,lof_score
0,2024-10-15,2024-10-17,-0.6364348636650741,0.5455499944873763
1,2024-10-16,2024-10-18,-0.8804733776744824,0.49753993232650245
2,2024-10-17,2024-10-21,-0.8469581346617137,0.5311528076324132
3,2024-10-18,2024-10-22,-0.8560168960350829,0.5356008657213878
4,2024-10-21,2024-10-23,-0.20988315375244784,0.5252712846651029
5,2024-10-22,2024-10-24,-0.7173801450840911,0.5294098258771845
6,2024-10-23,2024-10-25,-0.5169388717116892,0.5256053362152566
7,2024-10-24,2024-10-28,-0.8044825889241737,0.5101623620628882
8,2024-10-25,2024-10-29,-0.7607860483616891,0.4830766111419382
9,2024-10-28,2024-10-30,-0.04003138450235833,-1.9681306164250123
10,2024-10-29,2024-10-31,1.4182552757420301,-2.310982719670731
11,2024-10-30,2024-11-01,0.7187405986173975,-2.377418168275572
12,2024-10-31,2024-11-04,1.199502886121681,0.5679484029100238
13,2024-11-01,2024-11-05,-0.2592192978073595,0.5354578744232628
14,2024-11-04,2024-11-06,2.4544374644461695,-1.3625272117223268
15,2024-11-05,2024-11-07,2.23392368535228,-1.462944739361817
16,2024-11-06,2024-11-08,1.8738194189826944,-1.5330261273747992
17,2024-11-07,2024-11-11,0.04153218484138262,0.5219282660443475
18,2024-11-08,2024-11-12,-0.6914388666696535,0.5263627294675631
19,2024-11-11,2024-11-13,-0.7996934772686833,0.5022386357308148
20,2024-11-12,2024-11-14,-1.090838013742518,0.509084692702059
21,2024-11-13,2024-11-15,-0.22001204642449926,0.5080486050889055
22,2024-11-14,2024-11-18,-0.1312804528906008,0.5321545549913654
23,2024-11-15,2024-11-19,0.2025010255234447,0.5154951841637678
24,2024-11-18,2024-11-20,-1.1028176517188495,0.4991681110185964
25,2024-11-19,2024-11-21,0.0785777829225305,0.5565595856224597
26,2024-11-20,2024-11-22,0.3433949483453587,0.5572139205370571
