index,date,score,start_date,end_date
65,2023-04-21,3.19833,2023-04-21,2023-04-21
66,2023-04-24,3.77174,2023-04-24,2023-04-24
89,2023-05-25,2.93329,2023-05-25,2023-05-25
149,2023-08-22,2.61083,2023-08-22,2023-08-22
193,2023-10-24,3.33442,2023-10-24,2023-10-24
196,2023-10-27,2.56487,2023-10-27,2023-10-27
213,2023-11-21,2.3309,2023-11-21,2023-11-21
230,2023-12-15,2.97331,2023-12-15,2023-12-15
260,2024-01-31,2.38067,2024-01-31,2024-01-31
272,2024-02-16,2.34112,2024-02-16,2024-02-16
273,2024-02-20,3.06931,2024-02-20,2024-02-20
275,2024-02-22,2.3259,2024-02-22,2024-02-22
291,2024-03-15,4.50927,2024-03-15,2024-03-15
339,2024-05-23,2.63566,2024-05-23,2024-05-23
344,2024-05-31,2.74586,2024-05-31,2024-05-31
358,2024-06-21,2.50511,2024-06-21,2024-06-21
375,2024-07-17,2.46142,2024-07-17,2024-07-17
399,2024-08-20,2.38854,2024-08-20,2024-08-20
421,2024-09-20,5.29791,2024-09-20,2024-09-20
462,2024-11-18,2.36523,2024-11-18,2024-11-18
463,2024-11-19,2.85089,2024-11-19,2024-11-19
496,2025-01-08,2.70663,2025-01-08,2025-01-08
499,2025-01-14,3.35994,2025-01-14,2025-01-14
500,2025-01-15,2.97524,2025-01-15,2025-01-15
522,2025-02-18,3.81714,2025-02-18,2025-02-18
525,2025-02-21,2.80067,2025-02-21,2025-02-21
542,2025-03-18,2.97509,2025-03-18,2025-03-18
543,2025-03-19,2.69959,2025-03-19,2025-03-19
545,2025-03-21,3.59985,2025-03-21,2025-03-21
