index,stock_idx,score
25,25,4.12607
39,9,3.33919
58,28,3.41194
68,8,3.38079
78,18,3.4512
97,7,2.95414
107,17,2.73307
135,15,4.18669
153,3,2.67259
192,12,3.17795
196,16,2.93668
202,22,2.77127
212,2,3.11822
283,13,3.87349
293,23,3.83213
303,3,4.02098
435,15,4.77832
445,25,4.75244
455,5,4.84497
559,19,3.38164
566,26,3.07017
569,29,3.39755
589,19,3.46209
591,21,2.77523
596,26,2.69161
601,1,2.69427
609,9,2.66731
629,29,3.01736
709,19,3.79564
719,29,3.72626
729,9,3.28125
733,13,3.39346
737,17,3.1792
738,18,3.90319
743,23,3.33956
748,28,3.91094
753,3,3.50733
757,7,2.8631
758,8,4.10892
941,11,2.86614
956,26,2.84289
961,1,2.94251
966,6,2.71482
976,16,3.21765
1009,19,3.16655
1029,9,3.0057
1039,19,2.86784
1071,21,3.50632
1081,1,3.76696
1091,11,3.84762
1207,7,2.78914
1266,6,2.76893
1292,2,3.53169
1296,6,3.50855
1298,8,3.36732
1302,12,3.452
1303,13,3.1994
1306,16,3.4654
1307,17,2.6697
1308,18,3.42825
1312,22,3.54774
1313,23,3.15225
1316,26,3.59277
1317,27,2.75973
1318,28,3.44342
1324,4,2.9625
1325,5,3.06938
1328,8,2.68502
1334,14,2.8358
1335,15,2.98364
1344,24,3.16194
1345,25,3.08971
1348,28,2.8412
1398,18,3.34607
1408,28,2.78448
1418,8,2.99629
1419,9,4.17108
1429,19,3.97197
1439,29,3.14428
1704,24,3.14369
1714,4,2.91575
1762,22,3.30179
1772,2,3.3001
1782,12,3.38216
1815,15,2.6645
1825,25,2.81249
1835,5,2.77752
1917,27,2.93026
1927,7,2.90904
2089,19,3.83972
2099,29,3.62623
2114,14,3.60416
2116,16,3.46892
2134,4,3.3359
2136,6,3.42108
2143,13,2.65884
2144,14,3.39756
2146,16,3.5007
2236,16,3.96176
2323,13,3.02334
2333,23,2.84764
2473,13,3.27257
2475,15,3.01947
2481,21,2.89161
2483,23,3.29775
2485,25,2.87078
2493,3,3.38951
2495,5,2.99507
2501,11,2.63597
2537,17,4.3741
2547,27,4.5203
2557,7,4.63033
2589,9,4.04542
2599,19,4.04092
2609,29,4.16736
2717,17,3.10242
2727,27,2.98967
2737,7,3.18008
2809,19,3.00913
2819,29,2.93356
2862,12,3.57867
2864,14,2.93514
2866,16,5.29576
2867,17,2.92264
2872,22,3.46666
2874,24,2.69073
2876,26,5.30594
2877,27,2.74018
2882,2,3.55494
2886,6,5.37957
2887,7,2.87385
2904,24,5.96439
2921,11,4.0055
2928,18,4.51212
2929,19,3.48812
2931,21,3.66811
2938,28,4.5188
2939,29,3.44122
2941,1,3.85867
2944,4,3.23713
2948,8,4.63689
2949,9,3.55394
2964,24,3.24408
2968,28,2.90469
2978,8,2.8134
2988,18,2.87804
2998,28,3.69621
3008,8,3.67204
3012,12,3.11524
3014,14,5.98846
3026,26,3.16493
3028,28,3.78752
3036,6,3.20476
3046,16,3.2608
3065,5,2.87975
3075,15,2.75882
3122,2,2.94199
3124,4,5.94322
3164,14,3.01291
3174,24,2.66182
3184,4,2.71071
3232,22,3.16442
3233,23,3.14668
3346,16,3.93585
3353,23,3.11517
3417,27,2.76692
3437,17,2.75228
3463,13,3.19331
3489,9,2.84252
3499,19,2.66629
3560,20,2.97312
3563,23,3.05067
3564,24,3.94968
3565,25,3.96634
3566,26,3.66125
3567,27,3.9038
3568,28,2.90216
3580,10,2.75154
3583,13,2.83118
3584,14,3.85987
3585,15,3.9517
3586,16,3.5882
3587,17,3.85419
3588,18,2.68839
3590,20,2.98178
3594,24,3.95147
3595,25,4.04971
3596,26,3.76651
3597,27,4.0274
3612,12,2.68692
3622,22,2.65015
3784,4,4.66915
3804,24,4.68211
3814,4,4.78978
3847,7,3.96143
3857,17,3.92608
3867,27,4.0961
3875,5,4.6543
3885,15,4.64188
3895,25,4.72956
3933,3,3.09002
3937,7,3.37344
3943,13,2.82893
3947,17,3.39362
3953,23,3.1066
3957,27,3.49705
4078,28,2.64734
4079,29,3.08087
4098,18,2.65081
4146,6,2.68616
4189,19,2.85238
4274,14,3.9339
4284,24,3.89759
4294,4,4.07371
4295,5,2.65921
4304,14,3.2653
4314,24,3.12789
4324,4,3.22987
4403,23,4.37794
4413,3,4.36533
4421,11,2.6353
4423,13,4.48881
4425,15,2.93821
4435,25,2.75229
4445,5,2.95886
4456,16,4.08424
4489,19,2.7895
4499,29,3.45751
4509,9,3.39502
4527,27,4.11732
4529,29,3.53745
4537,7,4.16716
4539,9,3.53877
4547,17,4.25519
4549,19,3.65858
4616,26,2.7704
4693,13,2.80128
4713,3,2.9493
4941,21,2.69204
4942,22,3.72017
4943,23,3.37401
4944,24,4.71683
4946,26,3.54561
4947,27,3.49522
4952,2,3.64324
4953,3,3.30612
4954,4,4.67841
4956,6,3.43206
4957,7,3.42896
4961,11,2.79505
4962,12,3.58739
4963,13,3.37887
4964,14,4.77512
4966,16,3.51341
4967,17,3.54793
4981,1,3.58697
4991,11,3.51566
5001,21,3.27289
5060,20,2.92811
5098,28,2.71004
5175,15,2.72708
5213,23,2.64165
5233,13,2.88094
5324,14,4.15035
5329,19,2.84456
5334,24,4.15564
5344,4,4.23269
5355,15,4.08487
5368,28,3.31241
5378,8,3.25061
5388,18,3.33284
5424,24,2.9662
5434,4,2.92945
5449,19,3.24935
5459,29,3.35691
